C2_EMISSAO	C2_NUM	C2_PRODUTO	B1_DESC	C2_QUANT	B1_YQTML	B1_YCONC	C2_YDOSSIE	C2_YLOTE	B1_YREGANS	B1_CODBAR
31/10/2025	146734	07010013       	SOL. CLORETO DE SODIO 0,9% 250ML - SF             	17254	250	0	16503F/25      	25L16503F 	1108500010207	               
31/10/2025	146733	07010013       	SOL. CLORETO DE SODIO 0,9% 250ML - SF             	17254	250	0	16502F/25      	25L16502F 	1108500010207	               
31/10/2025	146732	07010013       	SOL. CLORETO DE SODIO 0,9% 250ML - SF             	17254	250	0	16501F/25      	25L16501F 	1108500010207	               
31/10/2025	146730	07010013       	SOL. CLORETO DE SODIO 0,9% 250ML - SF             	17254	250	0	16500F/25      	25L16500F 	1108500010207	               
31/10/2025	146729	07010013       	SOL. CLORETO DE SODIO 0,9% 250ML - SF             	17254	250	0	16499F/25      	25L16499F 	1108500010207	               
31/10/2025	146728	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	19607	500	0	12683E/25      	25L12683E 	1108500010193	               
31/10/2025	146727	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	19607	500	0	12682E/25      	25L12682E 	1108500010193	               
31/10/2025	146726	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	19607	500	0	12681E/25      	25L12681E 	1108500010193	               
31/10/2025	146725	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	19607	500	0	12680E/25      	25L12680E 	1108500010193	               
31/10/2025	146724	07010032       	SOL. RINGER COM LACTATO 500ML - SF                	19607	500	0	12679E/25      	25L12679E 	1108500420049	               
31/10/2025	146724	07010032       	SOLUCAO DE GLICERINA - FCO 500ML                  	19607	0	0	12679E/25      	25L12679E 	             	               
31/10/2025	146723	07010032       	SOL. RINGER COM LACTATO 500ML - SF                	19607	500	0	12678E/25      	25L12678E 	1108500420049	               
31/10/2025	146723	07010032       	SOLUCAO DE GLICERINA - FCO 500ML                  	19607	0	0	12678E/25      	25L12678E 	             	               
31/10/2025	146722	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10918D/25      	25L10918D 	1108500110066	               
31/10/2025	146721	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10917D/25      	25L10917D 	1108500110066	               
31/10/2025	146720	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10916D/25      	25L10916D 	1108500110066	               
31/10/2025	146719	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10915D/25      	25L10915D 	1108500110066	               
31/10/2025	146718	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10914D/25      	25L10914D 	1108500110066	               
31/10/2025	146717	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10913D/25      	25L10913D 	1108500110066	               
31/10/2025	146716	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10912D/25      	25L10912D 	1108500110066	               
31/10/2025	146715	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10911D/25      	25L10911D 	1108500110066	               
31/10/2025	146714	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10910D/25      	25L10910D 	1108500110066	               
31/10/2025	146713	07010013       	SOL. CLORETO DE SODIO 0,9% 250ML - SF             	17254	250	0	16498F/25      	25L16498F 	1108500010207	               
31/10/2025	146712	07010032       	SOL. RINGER COM LACTATO 500ML - SF                	19607	500	0	12677E/25      	25L12677E 	1108500420049	               
31/10/2025	146712	07010032       	SOLUCAO DE GLICERINA - FCO 500ML                  	19607	0	0	12677E/25      	25L12677E 	             	               
31/10/2025	146711	07010032       	SOL. RINGER COM LACTATO 500ML - SF                	19607	500	0	12676E/25      	25L12676E 	1108500420049	               
31/10/2025	146711	07010032       	SOLUCAO DE GLICERINA - FCO 500ML                  	19607	0	0	12676E/25      	25L12676E 	             	               
31/10/2025	146710	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10909D/25      	25L10909D 	1108500110066	               
31/10/2025	146709	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10908D/25      	25L10908D 	1108500110066	               
31/10/2025	146708	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10907D/25      	25L10907D 	1108500110066	               
31/10/2025	146707	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10906D/25      	25L10906D 	1108500110066	               
31/10/2025	146706	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5480B/25       	25L5480B  	1108500010193	               
31/10/2025	146705	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5479B/25       	25L5479B  	1108500010193	               
31/10/2025	146704	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5478B/25       	25L5478B  	1108500010193	               
31/10/2025	146703	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5477B/25       	25L5477B  	1108500010193	               
31/10/2025	146702	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5476B/25       	25L5476B  	1108500010193	               
31/10/2025	146701	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5475B/25       	25L5475B  	1108500010193	               
31/10/2025	146700	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5474B/25       	25L5474B  	1108500010193	               
31/10/2025	146699	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5473B/25       	25L5473B  	1108500010193	               
31/10/2025	146698	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5472B/25       	25L5472B  	1108500010193	               
31/10/2025	146697	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5471B/25       	25L5471B  	1108500010193	               
31/10/2025	146696	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5470B/25       	25L5470B  	1108500010193	               
31/10/2025	146695	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5469B/25       	25L5469B  	1108500010193	               
31/10/2025	146694	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5468B/25       	25L5468B  	1108500010193	               
31/10/2025	146693	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5467B/25       	25L5467B  	1108500010193	               
31/10/2025	146692	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5466B/25       	25L5466B  	1108500010193	               
31/10/2025	146691	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5465B/25       	25L5465B  	1108500010193	               
31/10/2025	146690	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5464B/25       	25L5464B  	1108500010193	               
31/10/2025	146689	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5463B/25       	25L5463B  	1108500010193	               
31/10/2025	146688	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5462B/25       	25L5462B  	1108500010193	               
31/10/2025	146687	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5461B/25       	25L5461B  	1108500010193	               
31/10/2025	146686	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5460B/25       	25L5460B  	1108500010193	               
31/10/2025	146685	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5459B/25       	25L5459B  	1108500010193	               
31/10/2025	146684	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5458B/25       	25L5458B  	1108500010193	               
31/10/2025	146683	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5457B/25       	25L5457B  	1108500010193	               
31/10/2025	146682	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5456B/25       	25L5456B  	1108500010193	               
